2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.37,3600,"3,589.63"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.39,3600,"3,589.61"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.41,3600,"3,589.59"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.42,3600,"3,589.58"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.44,3600,"3,589.56"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.45,3600,"3,589.55"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.47,3600,"3,589.53"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.48,3600,"3,589.52"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.50,3600,"3,589.50"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.51,3600,"3,589.49"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.53,3600,"3,589.47"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.54,3600,"3,589.46"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.55,3600,"3,589.45"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.57,3600,"3,589.43"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.58,3600,"3,589.42"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.60,3600,"3,589.40"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.61,3600,"3,589.39"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.62,3600,"3,589.38"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.63,3600,"3,589.37"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.65,3600,"3,589.35"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.67,3600,"3,589.33"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.68,3600,"3,589.32"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.70,3600,"3,589.30"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.71,3600,"3,589.29"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.73,3600,"3,589.27"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.74,3600,"3,589.26"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.75,3600,"3,589.25"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.77,3600,"3,589.23"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.79,3600,"3,589.21"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.80,3600,"3,589.20"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.81,3600,"3,589.19"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.83,3600,"3,589.17"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.84,3600,"3,589.16"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.85,3600,"3,589.15"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.87,3600,"3,589.13"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.88,3600,"3,589.12"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.89,3600,"3,589.11"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.90,3600,"3,589.10"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.92,3600,"3,589.08"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.93,3600,"3,589.07"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.94,3600,"3,589.06"
